,내용,등록일
1864,일단 가 가장 궁금했던건 흰지가 얼마나 덜 튀어나왔냐 udc 가 얼마나 거슬릴까폴드3는 폴드2에 비해 흰지가 줄어든게 느껴지구요 화면의 쨍함도 폴드2 보다 확실히 좋았습니다udc 는 폴드2 전면카메라와 마찬가지로 웹서핑이나 일반 영상 볼때는 똑같이 카메라 하단으로 내려가서 실행됩니다다만 풀스크린 옆으로 돌려서 할때만 영상에 묻히더라구요 사진을 크게 볼때도요모바일 배그배틀그라운드 할때 폴드 2는 카메라 부분이 조금 먹고 들어가서 키세팅이 더 안쪽으로 들어가야하는데 폴드3에서는 해보지를 못했네요 아마도 이건 키세팅 화면 끝까지 밀여 붙어도 될 거 같습니다 폴드3 의 경우는요폴드1폴드2 기변 할경우 100만원 이라는 정책이 딱 정해졌는데추가금 15만원 이라는 정책이 이번에 있으면서 직원에게 물어보니 중고폰 같은 경우 아무리 상태가 좋아도 A급은 나오기 힘들다 A급은 90만원 이라고 들은거 같습니다 B 급 같은 경우 80만원 인데 여기다가 15만원 인거 같았어요 폰이 상태 좋다는 가정하에현재 폴드2 사용자인데 폴드3 는 단 10 몇그램 차이인데도 살짝 가볍다 느껴지네요폴드2에 비해 마감새도 훨씬 좋고 뭔가 더 정교하게 잘만들어진거 같습니다플립은 역시나 주름은 전작과 거의 비슷한거 같아요 플립 주름은 폴드보다 심하더라구요근데 여자분들이 혹할만하게 만들어 놨습니다 이뻐요 이뻐  ,2021.08.13. 13:57
1865,블랙화면시 오프밝은 바탕시 거슬리긴 함각도 따라 밝아졌다가 어두워졌다 해서 더 티남셀카촬영시엔 오프 됨일단 웹서핑시 확실히 거슬립니다펀치홀은 그냥 무시하게 되는데 얘는 자꾸 빤딱거리는 느낌이라 신경쓰이네요사진볼때나 영상볼때는 전환이 빠르고 화면에 집중되어서 그런지 크게 거슬림은 없었습니다펜 작업시엔 글씨에 신경이 가서 udc는 아예 신경안쓰게 됩니다결론은 셀카찍을때 처럼 온오프 기능만 추가해주면웹서핑 시도 폴드2처럼 그려러니 될것 같슴다그린색상이 참 잘나왔는데 512가 없어서 아쉽고실버는 많이 별로였습니다 실버가 아니라 그냥 도색 안한 느낌짜임새는 폴드2보다 괜찮고 디스플레이 단단함도 더 좋게 느껴졌습니다 폴드2처음 들어봤을때보다 더 가벼운 느낌이 들기도 하긴하는데 고작 몇그램인데 이건 걍 느낌때문일지도요ps 디프보다 일렉이 확실히 싸고요워치4는 손목가는 남자인데도 40은 알이 작게 느껴졌습니다 배젤때문에 그런듯요 44는 알은적당한데 그 줄 연결부위때문에 크게 느껴지고요전 이미 44질러서 걍 갑니다그리고 플립3진짜 예쁘네요그린 무광블랙 진짜 멋지고라벤더는 여성분들이 꾸미기 좋아할듯크림은 별로걍 오래되어서 색 바랜 느낌입니다플립3가 512있었다면 바로 질렀을것 같슴다,2021.08.13. 13:23
1866,udc 반응이 뜨거워서 올리는 게시글입니다 구매하려고 하시는분이 많다고 생각하여 비교 해보시고 구매하라고 글 적습니다판단은 여러분들 몫이니 제발 싸우지 마세요 ,2021.08.13. 10:01
1867,제가 오늘 기기 받고 사용 해본 후기입니다낮에는 솔직히 잘보입니다 다만 위와같이 영상을 시청하거나 어두울때는 어디있는지 찾기 힘들정도입니다 개인적으로 매우 만족하고있고  첫시도 치고는 매우 괜찮다는점 참고하시면 될거같습니다 궁금하신게 있다면 댓글 달아주세요 아는선에서 답변해드리겠습니다,2021.08.12. 22:54
1868,안녕하세요z폴드3 간단 후기를 남깆니다슬의하는 날이라 주말에 보러갈까 하다가넘나 궁금해서리 참지 못하고 달려갔습니다1 색상실버가 생각보다 이뿝니다빛에 따라 푸르스름하게 빛이 납니다그린은 색감이 어둡고 무광이라 깔끔하니 이뿌네요기대 이상이었습니다하지만 전 블랙을 좋아해서 제일 맘에 드는건 블랙이네요색상 정말 잘 나왔습니다유광에 진한 블랙이었으면 별로였을 텐데무광에 살짝 메탈 느낌이어서 정말 이뿌네요 Previous imageNext image블랙 실버 그린 2 UDC방충망 얘기가 많은데저는 카메라에서나 잘 보이는 줄 알았습니다그런데제 두 눈을 의심했습니다흰색 화면에서는 방충망처럼 대놓고 보이고검은색 화면에서는 모자이크 처럼 보이네요녹색이나 빨간색 밝은 화면에서는 잘 안보입니다 차라리 펀치홀이 더 깔끔하고 이뿐 것 같습니다 하아그리고 카메라 화질이 진짜 옛날 폴더블폰 화질 입니다갬성 셀카용으는 딱 입니다다행히 외부 전면 카메라는 좋습니다 Previous imageNext image 3 s펜기존 s펜에 비해 엄청 미끄럽습니다펜촉이 둥글해서 그런것 같습니다펜촉이 둥글한게 단점이 될 것 같습니다그래도 없는 것 보다 훨씬 좋은 것 같습니다사진을 안찍었네요4 총평 1은 폴더블인거 말고는 먼가 허접했고2는 디자인과 방수가 안되는게 아쉬웠는데3에서는 이런 아쉬움들이 모두 보완되었고udc 와 spen 을 시험하는 것 같네요udc 빼고디자인 만듬새가 정말 좋은 것 같습니다12는 무거운데 묵직한게 없었다면3는 가벼운데 묵직함이 느껴집니다4를 기다려야 하나 싶지만아 걍 갖고 싶습니다쩝 플립 후기는 따로 남기겠습니다,2021.08.12. 20:48
1869,일단 사진은 다른분들이 많이 올리니 안찍었어요정책적인 얘기 주로 해볼려고요일단 디프에서 주는 사전예약 혜택이삼성카드 쓸시 포인트 뭐 주는거 다 합쳐서 40mm 워치4 블투버전을 준다고 하네요 돈 추가해서 업글 가능하구요거기에 파손보험 1년동안 자기부담금을 내주는걸 1회 해준다고 해요쿠팡이 언제 어떻게 내놓을지 모르겠어요 이런 정책을내놓아야 비교해서 빨리 예약 할건데그리고 전 노트 이용자라 펜의 제스처나 모션기능을 많이 이용했는데 폴드에디션은 지원 안되고 s펜프로 모델만 가능하네요삼전에서 사은품으로 수납케이스를 줄때 돈더 주고 프로 모델로 바꿀수 있었으면 좋겠네요그리고 반납지원할때 폴드3 추가15만원 주는게노트20은 10만원 이라고 하네요참고하세요어쨋든 저는 쿠팡 보고 하려고 예약은 하지않고 돌아왔네요,2021.08.12. 19:37
1870,폴드3가 궁금해서 일끝나고 디지털프라자에 방문해봤는데 카메라 부분이 생각보다 눈에 띄네요해상도는 그려려니 하는데 밝기가 달라서 더 눈에 띄는 것 같습니다멈춰있는 밝은 화면은 카메라 부분이 더 빛나서 잘 보입니다동영상은 보고자하면 보이지만 영상 중앙에 시선이 가서 잘 보이지 않습니다동영상은 괜찮지만 전자책은 카메라 부분이 밝아서 거슬릴 정도입니다전자책 위주로 사용하기 때문에 카메라 부분 밝기만 조절된다면 구입하겠지만 이대로면 구입 안할 것 같습니다 사진으로는 별로 안느껴지지만 흰부분이 상당히 밝습니다  펀치홀에 글자 날라가는거 보다는 저해상도라도 보이는게 좋습니다다만 카메라 부분만 밝기가 달라서 문제입니다  반전을 해도 카메라 부분의 흰부분만 밝아집니다,2021.08.12. 17:48
1871,1 디자인 90점매우 예뻐요 전작에서 과한부분은 싹 쳐냈어요 블랙의 유광도 사라졌고 접은 상태에서 베젤도 싹 줄었죠 두께도 체감될 정도로 줄었어요 만듦새가 매우 좋습니다 펼쳤을 따 거의 평평해졌고 주름도 전보다 줄어든 느낌입니다 거지 같은 카메라 섬 쳐낸게 최고의 성과에요색은 세 색깔 다 매우 좋습니다 무광의 파괴력은 무시무시하거든요 특히 전작에서 블랙을 진작 이렇게 냈어야죠생각보다 그린이 엄청 예쁩니다 블랙은 심심하고요2 디스플레이6점 UPC 포함품질은 매우 좋아요 내외부 120Hz 좋고 베젤 얇고 색도 훌륭하죠 근데 upc기대보다 한참 아래입니다 영상 볼 때는 도움되는데 흰색 검은색 안가리고 그냥 티 엄청 납니다 차라리 폴드2에서 펀치홀 사이즈를 S21 수준으로 줄이는게 좋았을거에요아 대신 주름도 깊이가 좀 줄어든 느낌이고 더 유리느낌 납니다3 기타성능은 당연히 빠릿빠릿합니다 매장 내부도 시원해서 크게 발열은 안느껴졌고  카메라는 폴드2나 얘나 뭐4 s펜얠 깜빡했네요  기존 s펜 대비 뭉툭해지긴 했지만 필기감 매우 좋아요 전면에서도 되게 해주면 완벽할 것 같습니다190만원 내고 살만합니다 오히려 작년 폴드2에서 방수 UPC 빼곤 다 할 수 있는 부분인데 안한거였네요,2021.08.12. 17:31
1872,디프에서 색상고민 십만번 하다가블랙과 실버중에결국 블랙512샀네요저는 폴드3이쁘더라구요,2021.08.12. 16:14
1873,현재 폴드2 사용자인데S펜에 대한 갈증이 심해 폴드3로 기변할까고민하던차에 디프 방문햇는데일단 외관은 폴드2랑 거의 흡사합니다무게마저 별로 차이가 안나더라구요중요 채크사항이 UDC와 S펜이엿는데1 UDC 는 생각보다 너무 티가낫어요 1세대라그런가 눈에 너무 들어오더라고요 깔끔한거 좋아하시는분은 좀더 거슬릴듯 하네요2 S펜은 음 일단 S펜으로 드로잉하면 마지막에 때는 지점에 액정이 들어갑니다  손톱자국처럼요근대 전체적으로 그것만 잇는거 보니 시간지나면 들어간 액정이 다시 원복되는것 같기도하던대 시간이 많이 없어 기다려보지는 못햇어요  그 어느정도 압력 가햇을때 펜촉이 스프링으로 들어가게 되는대 들어가지 않을정도로 그렷는데도 그렇더라고요또 직선을 그렷는데 뭔가 떨림 처럼 선이그어지기도 s21나 노트에 적용된 S펜 1mm 또는 07mm 필기감은 기대하심 안됩니다 사실 디프에서는 그냥 폴드2 써야지 맘먹엇는데 집에오니 아직도 고민이되네요생활패턴에 따라 방수유무가 구매유무를 가를듯 합니다  저렴하게 나왓으니까요아 그리고 중간에 접히는 부분은 폴드2와거의 흡사합니다 ,2021.08.12. 14:27
1874,안녕하세요 노트20울트라 유저인데 이번에 폴드3가 괜찮을까 싶어서 관심을 가지고 있던 차에디프에서 실제로 보고 결정하자고 해서 방금 구경 다녀왔어요 플립은 이쁜거 같아요 그냥 디자인은 괜찮음그런데 현재 쓰고 있는 폰보다 성능이 구려서 패스주름은 아주 심하게 잘보여요 개인적으로 별로였음 Previous imageNext image 그린 색상입니다 색상을 보니까 좀 어두운계열의 그린이라 검정색하고 크게 차이 나진 않지만아재색깔같아서 패스 그나마 실버가 핑크빛 돌면서 제일 예뻐보였어요 Previous imageNext image  다음으로는 폴드3에서 화면 분할 비율을 봤는데 화면이 크다보니 활용도는 괜찮을꺼 같아서 이건 좋았어요사진 화질이 12mp라 개구려서 그냥 그거 포기하더라두 유투브라도 화면 풀로 시원하게 볼수있다면넘어갈려고 마음을 먹고있어서 한번 봤습니다 앞에서 볼때 화면인데 양옆에 검은 화면 심하죠 비율이 그래서확대는 되더군요 근데 엄청 짤려요 펼쳐봤더니 위아래 심해요 역시 구려요  펼치면 확대 조차 안되요 다시 회전시켜봤습니다 흐음회전시키니 좀 낫네요 그래도 풀화면 안되더라두 확대가 안되서 개구려요 패스 다음으로 사진찍을때 UDC 펀치홀 아주 선명하게 보여요 아직은 좀더 기술력이 필요할듯 해요워치4는 베젤이 겁나 크구  버즈2는 액티브노이즈캔슬링  완전 기대이하입니다음질은 그냥저냥 비슷했어요 결론  닥치고 노트20울트라 존버하자,2021.08.12. 14:06
1875,Loading playerlikesoundmutesoundmutesoundvolume2soundvolume3 xPlayer Size0 x 0Current Resolution0PMax Abr Resolution0PProtocolhlsCurrent BandwidthAverage BandwidthBuffer HealthFrame Drop Rate00 도움말라이센스Video Statistic Version 4246 HLSBuild Date 2021512NAVER Corp     동영상 인코딩 중입니다5분 이상 소요될 수 있으며 영상의 길이에 따라 소요 시간은 달라집니다 topleft rightbottom마우스를 드래그 하세요360 Video도움말 MULTI TRACK멀티트랙의 트랙별 영상은 우측 관련영상에서 볼 수 있습니다선거광고 안내       음소거0000  0013 화질 선택 옵션자동 화질  전체화면   광고정보 더보기초 후 SKIP초 후 재생SKIP광고 후 계속됩니다SNS 공유소스 코드Band Twitter Facebook Blog CafeURL 주소복사HTML 소스544 x 306740 x 416936 x 5261280 x 720복사Flash 미지원으로 Object 코드 퍼가기 기능은 더 이상 지원되지않습니다도움말 플레이어 URL 복사 레이어 닫기접기펴기갤럭시폴드3 s펜갤럭시폴드3갤럭시폴드3s펜갤럭시폴드 UDC는 실제로 보는것과 최대한 유사하게 촬영했습니다생각보다 UDC가 실망적이네요삼성의 UDC는 좀 다르지 않을까 싶었는데흰색화면에서는 눈에 거슬릴정도로 눈에 띄고오히려 펀치홀이 나을 정도미디어 재생화면에서는 색이 덮여서 그럭저럭 볼만합니다UDC 카메라 품질은 기대하지 않으시는 편이 좋습니다찍어보니 화질도 떨어지고 좀 부자연스럽습니다다만 s펜은 성공적이라고 생각되네요화면 가운데 굴곡진 부분도 잘 인식되고 필기도 잘 됩니다총평UDC 무게 s펜  아 그리고 내부 디스플레이 필름이 바뀌었나보네요필름 품질이 상당히 좋습니다폴드2 초기 기본필름의 그 쓰레기필름말고 부드럽고 터치감 좋고 약간 쫀쫀한 느낌의 필름입니다필름이 UDC 부분까지 덮고 있습니다무게는 전작 갤럭시폴드2보다 11g 가볍다고 하는데실체감 무게는 더 가벼운것 같았습니다후면 카메라 정방형11 기준 픽셀수는 2992x2992입니다갤럭시폴드2의 후면 카메라 정방형 픽셀수는 3024x3024,2021.08.12. 13:34
